Date,Artist,Song Name,Video,Type,Release
2/19/21,Narachan (M.O.N.T),Beautiful Sunday,https://youtu.be/DVWZCj4-qK4&,Boy Solo,Major
2/18/21,A.M(Limitless),I still love you,https://youtu.be/BLitsiA6ma8,Boy Solo,Major
2/17/21,KINGDOM,Excalibur,https://youtu.be/G0OVgXdNb-I,Boy,Major
2/17/21,TRI.BE,DOOM DOOM TA,https://youtu.be/QsuC2S2mdT0,Girl,Major
2/16/21,Lucy,Hero,https://youtu.be/V-eHkQ_YABo,Boy,Major
2/16/21,Kang Daniel,Paranoia,https://youtu.be/zLrWIgkvoB0,Boy Solo,Major
2/15/21,Soyou X IZ*ONE,ZERO:ATTITUDE,https://youtu.be/hxiELGqlv5s,Girl,CF
2/15/21,Chungha,Bicycle,https://youtu.be/_waD9YW8Pa8,Girl Solo,Major
2/15/21,NCT 127,gimme gimme,https://youtu.be/6ZUPsl0EVuk,Boy,Japanese
2/14/21,TXT,Way Home,https://youtu.be/n_f-eSCgktk,Boy,Minor
2/13/21,MONSTA X,Wanted,https://youtu.be/j845WHyMfEA,Boy,Major
2/7/21,Kim Wooseok,Sugar,https://youtu.be/YIljei6gx-k,Boy Solo,Major
2/5/21,Sechskies,Don't Look Back,https://youtu.be/6Nc_3Mq8K2w,Boy,Special
2/5/21,aespa,Forever,https://youtu.be/wog1R1d4zls,Girl,Special
2/5/21,Momoland,Wrap Me In Plastic,https://youtu.be/ReJH1psuB1Q,Girl,Special
2/5/21,(G)I-DLE,HWAA (Dimitri Vegas & Like Mike Remix),https://youtu.be/P62kgQCuxGE,Girl,Special
2/3/21,Kim Myungsoo (L),Memory,https://youtu.be/_5GsoyqLns4,Boy Solo,Major
2/3/21,Purple Kiss,Can We Talk Again,https://youtu.be/JSHL-YTxRZQ,Girl,Minor
2/3/21,Hyuna,Good Girl,https://youtu.be/1scbHXpB6OM,Girl Solo,Major
2/2/21,CIX,Cinema,https://youtu.be/WzcjCrmKBqg,Boy,Major
2/1/21,BIBI,Eat My Love,https://youtu.be/9skS79yfbQs,Girl Solo,Major
1/31/21,DAY6 (Even of Day),So this is love,https://youtu.be/bs_v_M3svSE,Boy,Major
1/29/21,DALsooobin,Sign,https://youtu.be/RoRP8zsp9sw,Girl Solo,Major
1/28/21,Hyuna,I'm Not Cool,https://youtu.be/_yXEnhyOTQo,Girl Solo,Major
1/27/21,IU,Celebrity,https://youtu.be/0-q1KafFCLU,Girl Solo,Major
1/26/21,SOOHYUN&HOON (U-KISS),I Wish (Korean ver.),https://youtu.be/QuXU2d3XVx4,Boy,Major
1/26/21,Mamamoo,AYA -Japanese ver.-,https://youtu.be/x8JRUAdjJFQ,Girl,Japanese
