,2015,2016,2017,2018,2019
SM,322.234,349.870,365.387,612.227,657.826
YG,193.112,321.839,349.861,269.016,264.460
JYP,50.557,73.645,102.242,124.821,155.436
FNC,72.671,91.417,87.865,74.014,84.190
Cube,22.399,19.465,24.416,34.459,29.830
Big Hit,,,,301.372,587.224
