Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
U-KISS,8/28/08,NH Media,6,6,Kissme,Yes
UNB,4/7/18,Unit Culture,9,9,,No
UNIQ,10/20/14,Yuehua,5,5,Unicorn,Yes
UNVS,2/23/20,CHITWN,5,5,,Yes
UP10TION,9/11/15,TOP Media,10,10,HONEY10,Yes
VANNER,2/14/19,VT,5,5,,Yes
Varsity,1/5/17,GKC,12,12,,Yes
VAV,10/31/15,A team,7,6,,Yes
Verivery,9/1/19,Jellyfish,7,7,,Yes
VERMUDA,7/13/17,JJJ,5,5,,Yes
VICTON,11/9/16,Plan A,7,7,Alice,Yes
VIXX,5/24/12,Jellyfish,5,6,Starlight,Yes
VOISPER,2/23/16,Evermore,4,4,,Yes
VROMANCE,6/12/16,RBW,4,4,,Yes
Wanna One,8/7/17,YMC,11,11,Wannable,No
We In The Zone,5/27/19,Choon,5,5,,No
Wei,10/5/20,OUI,6,6,,Yes
WINNER,8/12/14,YG,4,5,Ace,Yes
WOW,3/8/21,A.CONIC,7,7,,Yes
XENEX,2/26/20,GiEok,5,5,,Yes
ZE:A,1/7/10,Star Empire,9,9,ZE:A Style,Hiatus
